run_id,timestamp_utc,data_source,name,role,tier,refine_v24,refine_min,refine_r2019,d_r2019,score,refine,refine_R,refine_F,bss,brier,logloss,auc,pred_mean,d,score_cold,score_m1,se_vs_anchor,n_folds,delta_vs_anchor,beats_anchor,brier_cal,logloss_cal,logloss_cold
20260805-140812_real,2026-08-05T14:08:12.467950+00:00,real,hgb82_reg+RC,candidate,,485.8593936452562,-1234.2721744468226,1251.7456211068616,-0.029196701382331547,521.9784069899813,657.162717832536,583.2362443293221,-77.68253187154554,0.005219784069899813,0.24740618751759952,0.6880659397217033,0.5529029375139436,0.520741580317376,0.0008284294084465876,415.9082830818249,509.012362108402,20.665794509219396,4,-20.922567696067404,False,,,
20260805-140812_real,2026-08-05T14:08:12.467950+00:00,real,hgb82_reg_avg3+RC,candidate,,483.89778009486776,-1261.7252178010215,1259.7936265094477,-0.02910209848361256,518.9609271290252,652.4684221102143,590.9350885605359,-71.74368664459188,0.005189609271290252,0.24741385385564874,0.6880928742371056,0.5531683279274684,0.5206278482160898,0.0007146973071603113,431.8509809187781,523.1672567536123,20.60492175518594,4,-22.884181246455853,False,,,
20260805-140812_real,2026-08-05T14:08:12.467950+00:00,real,rf_official+RC,candidate,,397.3423974995203,-1277.9958005932967,1369.6026699510144,-0.02351172658372569,533.2484131493565,626.5696718935073,560.7875803010816,-276.16000999881,0.0053324841314935645,0.24738029161199265,0.6880519072560625,0.5524296967257076,0.5212068158022709,0.0012936648933415396,429.4701859386752,596.364080805295,16.114380410342022,4,-109.4395638418033,False,,,
20260805-140812_real,2026-08-05T14:08:12.467950+00:00,real,rf_official+K1_iso,candidate,,362.11893214286783,-1288.9499766419576,1370.1035017070494,-0.02345425967899739,539.2291469093952,632.0639490537696,574.1287835525164,-55.252212775582194,0.0053922914690939525,0.24736550075026942,0.6886763584029881,0.5530466415674371,0.5210020902217083,0.0010889393127788555,475.4673885827249,530.5162569353788,16.293811065842252,4,-144.66302919845577,False,,,
20260805-140812_real,2026-08-05T14:08:12.467950+00:00,real,const_ORACLE,oracle,,-4.4408920985006255e-11,-4.4408920985006255e-11,3.3306690738754716e-11,2.220446049250313e-16,-2.7755575615628914e-12,-2.7755575615628784e-12,2.9388047551037744e-11,4.504840944719035e-12,-2.7755575615628914e-17,0.2486970808178609,0.6905352266102539,0.5,0.5199131509089295,1.1102230246251565e-16,1.1151968237754772e-11,,40.235822800096,4,-506.781961341368,False,,,
20260805-140812_real,2026-08-05T14:08:12.467950+00:00,real,const_prev,reference,,1.06439301816863e-11,-2.808064891723916e-11,-2.808064891723916e-11,-0.03195830837473346,-208.44163528577764,-9.910072762409072e-12,4.222400207254395e-12,-8.01492205937393e-12,-0.0020844163528577764,0.2492137913432817,0.6915733839355769,0.5,0.5235877455704847,0.003674594661555272,-4.291678123991005e-12,,38.04487350517576,4,-506.781961341313,False,,,
20260806-092258_real,2026-08-06T09:22:58.973907+00:00,real,glm_offset_hgb_z+K0,candidate,,761.3773824027581,-771.1665191741149,1602.484161223556,-0.026282247918109403,850.9633014747443,964.0403574835785,732.0734692808413,26.554036731316614,0.008509633014747444,0.24658857198826983,0.6863112359555985,0.5569652234555353,0.5206853258669909,0.0007721749580615472,1154.5977569375261,299.91636876525445,19.59496651901284,4,254.59542106143454,True,,,
20260806-092258_real,2026-08-06T09:22:58.973907+00:00,real,glm_offset_hgb+K0,candidate,,754.6498495711339,-758.3701595679547,1609.6930940694724,-0.025836682800658872,850.5558333562201,962.8499203960226,729.7964058467386,13.568391843784156,0.0085055583335622,0.2465897163546369,0.6863107670927444,0.5569097101041915,0.5212242623731402,0.0013111114642107985,1163.1818337513375,298.4911679540153,19.394238493069185,4,247.86788822981032,True,,,
20260806-092258_real,2026-08-06T09:22:58.973907+00:00,real,glm_offset_hgb_z+RC2,candidate,,720.4836639270745,-815.2400473713941,,,-149.09237579078808,-47.378191722159784,661.4032070149904,269.58663891154805,-0.0014909237579078809,0.25027685827884444,0.6939755833872792,0.5385581997606004,0.5078423361987057,0.014811258860093601,-1192.4548236251771,-578.5178288941539,19.48062665088502,2,213.70170258575092,True,,,
20260806-092258_real,2026-08-06T09:22:58.973907+00:00,real,glm_offset_hgb+RC2,candidate,,714.9425161207707,-794.1572823899543,,,-141.21598859208603,-39.60738313459177,659.5958526604451,251.933025171015,-0.0014121598859208604,0.25025715573144874,0.6939246477670192,0.5385981205937227,0.5080709581468223,0.015039880808210199,-1147.385260865427,-538.9805308262941,19.126754788116912,2,208.16055477944712,True,,,
